id,item_id,item_name,item_name_en,equipment_type_id,job_override_mode,craft_level,equip_level,recipe_book,recipe_place,description,slot,slot_grid_type,slot_grid_cols,group_kind,group_id,group_name,materials_json,slot_grid_json,source_url,detail_url,effects_json,created_at,updated_at
1,katateken_132,守護竜のつるぎ,,1,inherit,75,132,ぼくと守護竜,はじまりの地のレシピ屋クツツ1000000G,"行動時まれに スカラが２段階 発動する片手剣",片手剣,片手剣,1,weapon_single,武器鍛冶_守護竜のつるぎ,守護竜のつるぎ,"[{""count"": 30, ""item_id"": 705}, {""count"": 6, ""item_id"": 603}, {""count"": 6, ""item_id"": 695}, {""count"": 8, ""item_id"": 754}, {""count"": 9, ""item_id"": 729}]","[[""400-408""], [""310-318""], [""505-513""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-132-1.php,"[""行動時5%でスカラ2段階"", ""全ての属性のダメージ+3.0%""]","2026-03-12 07:31:10","2026-03-12 07:31:10"
2,katateken_130,レオンソード,,1,inherit,75,130,レシピ入手方法,神都フォーリオンのレシピ屋1000000G,"攻撃時たまに チャージ時間を 短縮する片手剣",片手剣,片手剣,1,weapon_single,武器鍛冶_レオンソド,レオンソード,"[{""count"": 30, ""item_id"": 705}, {""count"": 3, ""item_id"": 693}, {""count"": 3, ""item_id"": 658}, {""count"": 10, ""item_id"": 702}, {""count"": 8, ""item_id"": 729}]","[[""470-480""], [""290-297""], [""350-357""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-130-1.php,"[""攻撃時10.0%でチャージ時間-10秒"", ""2.0%でターン消費なし""]","2026-03-12 07:31:13","2026-03-12 07:31:13"
3,katateken_128,不浄の滅剣,,1,inherit,65,128,レシピ入手方法,神都フォーリオンのレシピ屋1000000G,"ゾンビ系に強く たまにバイシオン も発動する片手剣",片手剣,片手剣,,weapon_single,不明_不浄の滅剣,不浄の滅剣,"[{""count"": 30, ""item_id"": 705}, {""count"": 4, ""item_id"": 649}, {""count"": 8, ""item_id"": 834}, {""count"": 10, ""item_id"": 880}, {""count"": 1, ""item_id"": 729}]","[[""480-488""], [""380-388""], [""532-540""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-128-1.php,"[""行動時10%でバイシオン"", ""ゾンビ系にダメージ+15%""]","2026-03-12 07:31:15","2026-03-12 07:31:15"
4,katateken_125,コメットソード,,1,inherit,75,125,彗星のしっぽをつかめ！,神都フォーリオンのレシピ屋1000000G,"特技ダメージ増え 武器ガードも 出やすくなる剣",片手剣,片手剣,,weapon_single,武器鍛冶_コメットソド,コメットソード,"[{""count"": 30, ""item_id"": 705}, {""count"": 3, ""item_id"": 883}, {""count"": 20, ""item_id"": 693}, {""count"": 1, ""item_id"": 570}, {""count"": 8, ""item_id"": 729}]","[[""380-388""], [""488-497""], [""346-354""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-125-1.php,"[""特技のダメージ+15"", ""武器ガード率+2.0%""]","2026-03-12 07:31:18","2026-03-12 07:31:18"
5,katateken_120,セーラスソード,,1,inherit,70,120,神光放つ剣の書,神都フォーリオンのレシピ屋1000000G,"会心の一撃の 威力と確率が 強化される片手剣",片手剣,片手剣,,weapon_single,武器鍛冶_セラスソド,セーラスソード,"[{""count"": 30, ""item_id"": 799}, {""count"": 5, ""item_id"": 693}, {""count"": 30, ""item_id"": 810}, {""count"": 1, ""item_id"": 570}, {""count"": 8, ""item_id"": 729}]","[[""340-348""], [""400-408""], [""318-326""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-120-1.php,"[""かいしん率+1.2%"", ""会心と暴走時魔物にダメージ+15""]","2026-03-12 07:31:20","2026-03-12 07:31:20"
6,katateken_118,妖精の剣,,1,inherit,70,118,妖精の加護,神都フォーリオンのレシピ屋1000000G,"行動時まれに スカラが２段階 発動する片手剣",片手剣,片手剣,1,weapon_single,武器鍛冶_妖精の剣,妖精の剣,"[{""count"": 30, ""item_id"": 799}, {""count"": 3, ""item_id"": 787}, {""count"": 20, ""item_id"": 619}, {""count"": 5, ""item_id"": 543}, {""count"": 7, ""item_id"": 729}]","[[""320-327""], [""320-327""], [""400-410""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-118-1.php,"[""行動時5%でスカラ2段階"", ""全ての属性攻撃ダメージ+3.0%""]","2026-03-12 07:31:22","2026-03-12 07:31:22"
7,katateken_115,輝天のつるぎ,,1,inherit,65,115,輝けるつるぎの伝説,砂の都ファラザードのレシピ屋1000000G,行動時たまにチャージ時間を短縮する片手剣,片手剣,片手剣,1,weapon_single,武器鍛冶_輝天のつるぎ,輝天のつるぎ,"[{""count"": 30, ""item_id"": 799}, {""count"": 3, ""item_id"": 603}, {""count"": 20, ""item_id"": 531}, {""count"": 30, ""item_id"": 826}, {""count"": 6, ""item_id"": 729}]","[[""300-306""], [""320-328""], [""375-385""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-115-1.php,"[""攻撃時10.0%でチャージ時間-10秒"", ""2.0%でターン消費なし""]","2026-03-12 07:31:24","2026-03-12 07:31:24"
8,katateken_110,鳴神のつるぎ,,1,inherit,65,110,鳴神の雷光,砂の都ファラザードのレシピ屋50000G,攻撃時たまに雷と光の耐性を下げる剣,片手剣,片手剣,1,weapon_single,武器鍛冶_鳴神のつるぎ,鳴神のつるぎ,"[{""count"": 5, ""item_id"": 741}, {""count"": 1, ""item_id"": 708}, {""count"": 1, ""item_id"": 554}, {""count"": 5, ""item_id"": 567}, {""count"": 5, ""item_id"": 865}]","[[""370-380""], [""315-321""], [""300-309""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-110-1.php,"[""特技のダメージ+10"", ""攻撃時8.0%で雷と光耐性ダウン""]","2026-03-12 07:31:27","2026-03-12 07:31:27"
9,katateken_108,デッドリーソード,,1,inherit,65,108,会心！デッドリーソード,王都キィンベルのレシピ屋50000G,会心の一撃の威力と確率が強化される片手剣,片手剣,片手剣,,weapon_single,武器鍛冶_デッドリソド,デッドリーソード,"[{""count"": 5, ""item_id"": 741}, {""count"": 1, ""item_id"": 603}, {""count"": 3, ""item_id"": 753}, {""count"": 5, ""item_id"": 718}, {""count"": 5, ""item_id"": 865}]","[[""330-336""], [""370-380""], [""350-360""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-108-1.php,"[""かいしん率+1.2%"", ""会心と暴走時魔物にダメージ+15""]","2026-03-12 07:31:29","2026-03-12 07:31:29"
10,katateken_105,呪印のつるぎ,,1,inherit,60,105,はじけろ呪印！,王都キィンベルのレシピ屋50000G,攻撃を防いだりまれに相手を呪文に弱くする剣,片手剣,片手剣,1,weapon_single,武器鍛冶_呪印のつるぎ,呪印のつるぎ,"[{""count"": 5, ""item_id"": 741}, {""count"": 1, ""item_id"": 550}, {""count"": 5, ""item_id"": 648}, {""count"": 20, ""item_id"": 784}, {""count"": 5, ""item_id"": 865}]","[[""300-310""], [""300-310""], [""350-356""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-105-1.php,"[""攻撃時5%でぶきみなひかり"", ""武器ガード率＋2.0%""]","2026-03-12 07:31:32","2026-03-12 07:31:32"
