id,name,name_en,buy_price,sell_price,category,created_at,updated_at
1,アイスバー,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
2,愛のチョコレート,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
3,愛のマカロン,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
4,悪霊の神々カード,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
5,悪霊の神々強カード,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
6,悪霊の神々強メダル,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
7,悪霊の神々コイン,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
8,悪霊の神々練習札,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
9,アクロバットケーキ,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
10,アスフェルド光章,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
11,アスフェルド大光章,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
12,アトラスカード,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
13,アトラス強カード,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
14,アトラス強メダル,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
15,アトラスコイン,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
16,アトラス練習札,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
17,アナザーハートの箱,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
18,甘味のモト,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
19,アマリリスの笑顔,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
20,アモールの水,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
21,暗黒の魔人カード,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
22,暗黒の魔人コイン,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
23,暗黒の魔人強カード,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
24,暗黒の魔人強メダル,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
25,暗黒の魔人練習札,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
26,アンチイエローバー,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
27,アンドレアルカード,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
28,アンドレアルコイン,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
29,アンドレアル練習札,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
30,アーマービスケ,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
31,いちばん星の贈り物,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
32,いのちのきのみ,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
33,いやしそう,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
35,色見本,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
36,ウォールビスケ,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
37,うつくしそう,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
38,うつしよの極箱,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
39,うつしよの金箱,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
40,うつしよの銀箱,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
41,うつしよの天箱,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
42,うつしよの銅箱,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
43,うつしよの竜箱,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
44,うつしよの闇箱,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
45,裏ショコラチケット,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
46,ウルベア金貨,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
47,ウルベア銀貨,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
48,ウルベア銅貨,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
49,運動会・赤組衣装券,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
50,運動会・白組衣装券,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
51,エテーネルスープ,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
52,絵葉書用便せん,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
53,エビルプリーストカード,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
54,エビルプリーストコイン,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
55,エビルプリーストメダル,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
56,エビルプリースト練習札,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
57,エレガントココア,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
58,エルフの飲み薬,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
59,お祝いクラッカー,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
60,黄金のアンクの箱,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
61,黄金の花びら,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
62,黄金のブローチの箱,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
63,王都の桜もち,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
64,お正月の絵馬,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
65,おたからさがしのすず,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
66,おたから花,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
67,おたのしみギュッと箱,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
68,お花の福袋,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
69,お招きのつばさ,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
70,おみくじボックス,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
71,おみくじボックスII,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
72,おみくじボックスIII,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
73,おめかしカラー券,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
74,おめかしレアカラー券,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
75,おもいでのすず,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
76,おもさのたね,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
77,オーガニックサラダ,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
78,オーブな香水,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
79,オーブなプチ香水,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
80,オーブなプチプチ香水,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
81,牙王ゴースネル召喚符,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
82,覚醒の鬼石,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
83,カジノな香水,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
84,カジノなプチ香水,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
85,カジノなプチプチ香水,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
86,カジノプレイチケット,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
87,仮装メイクおためし道具,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
88,仮装メイク道具,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
89,ガタラのブタまん,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
90,カムシカせんべえ,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
91,辛党衣装券,,,,consumable,"2026-03-12 05:52:25","2026-03-12 05:52:25"
