id,name,name_en,buy_price,sell_price,category,created_at,updated_at
1,アイスバー,Ice Pop,,,consumable,2026-03-12 05:52:25,2026-03-12 05:52:25
2,愛のチョコレート,Affection Chocolate,,,consumable,2026-03-12 05:52:25,2026-03-12 05:52:25
3,愛のマカロン,Love Macaron,,,consumable,2026-03-12 05:52:25,2026-03-12 05:52:25
4,悪霊の神々カード,Evil Trinity Card,,,consumable,2026-03-12 05:52:25,2026-03-12 05:52:25
5,悪霊の神々強カード,Apex Evil Trinity Card,,,consumable,2026-03-12 05:52:25,2026-03-12 05:52:25
6,悪霊の神々強メダル,Apex Evil Trinity Medal,,,consumable,2026-03-12 05:52:25,2026-03-12 05:52:25
7,悪霊の神々コイン,Evil Trinity Coin,,,consumable,2026-03-12 05:52:25,2026-03-12 05:52:25
8,悪霊の神々練習札,Evil Trinity Tag,,,consumable,2026-03-12 05:52:25,2026-03-12 05:52:25
9,アクロバットケーキ,Acrobatic Cake,,,consumable,2026-03-12 05:52:25,2026-03-12 05:52:25
10,アスフェルド光章,Asfeld Medal,,,consumable,2026-03-12 05:52:25,2026-03-12 05:52:25
11,アスフェルド大光章,Large Asfeld Medal,,,consumable,2026-03-12 05:52:25,2026-03-12 05:52:25
12,アトラスカード,Atlas Card,,,consumable,2026-03-12 05:52:25,2026-03-12 05:52:25
13,アトラス強カード,Apex Atlas Card,,,consumable,2026-03-12 05:52:25,2026-03-12 05:52:25
14,アトラス強メダル,Apex Atlas Medal,,,consumable,2026-03-12 05:52:25,2026-03-12 05:52:25
15,アトラスコイン,Atlas Coin,,,consumable,2026-03-12 05:52:25,2026-03-12 05:52:25
16,アトラス練習札,Atlas Tag,,,consumable,2026-03-12 05:52:25,2026-03-12 05:52:25
17,アナザーハートの箱,Another Heart Box,,,consumable,2026-03-12 05:52:25,2026-03-12 05:52:25
18,甘味のモト,Sweet Powder,,,consumable,2026-03-12 05:52:25,2026-03-12 05:52:25
19,アマリリスの笑顔,Amaryllis' Smile,,,consumable,2026-03-12 05:52:25,2026-03-12 05:52:25
20,アモールの水,Amor Seco Essence,,,consumable,2026-03-12 05:52:25,2026-03-12 05:52:25
21,暗黒の魔人カード,Ruin Card,,,consumable,2026-03-12 05:52:25,2026-03-12 05:52:25
22,暗黒の魔人コイン,Ruin Coin,,,consumable,2026-03-12 05:52:25,2026-03-12 05:52:25
23,暗黒の魔人強カード,Apex Ruin Card,,,consumable,2026-03-12 05:52:25,2026-03-12 05:52:25
24,暗黒の魔人強メダル,Apex Ruin Medal,,,consumable,2026-03-12 05:52:25,2026-03-12 05:52:25
25,暗黒の魔人練習札,Ruin Tag,,,consumable,2026-03-12 05:52:25,2026-03-12 05:52:25
26,アンチイエローバー,Anti-Yellow Bar,,,consumable,2026-03-12 05:52:25,2026-03-12 05:52:25
27,アンドレアルカード,Rashaverak Card,,,consumable,2026-03-12 05:52:25,2026-03-12 05:52:25
28,アンドレアルコイン,Rashaverak Coin,,,consumable,2026-03-12 05:52:25,2026-03-12 05:52:25
29,アンドレアル練習札,Rashaverak Tag,,,consumable,2026-03-12 05:52:25,2026-03-12 05:52:25
30,アーマービスケ,Armor Biscuit,,,consumable,2026-03-12 05:52:25,2026-03-12 05:52:25
31,いちばん星の贈り物,First Star's Gift,,,consumable,2026-03-12 05:52:25,2026-03-12 05:52:25
32,いのちのきのみ,Seed of Life,,,consumable,2026-03-12 05:52:25,2026-03-12 05:52:25
33,いやしそう,Superior Medicine,,,consumable,2026-03-12 05:52:25,2026-03-12 05:52:25
35,色見本,Color Sample,,,consumable,2026-03-12 05:52:25,2026-03-12 05:52:25
36,ウォールビスケ,Wall Biscuit,,,consumable,2026-03-12 05:52:25,2026-03-12 05:52:25
37,うつくしそう,Pretty Betsy,,,consumable,2026-03-12 05:52:25,2026-03-12 05:52:25
38,うつしよの極箱,Very Worldly Box,,,consumable,2026-03-12 05:52:25,2026-03-12 05:52:25
39,うつしよの金箱,Worldly Gold Box,,,consumable,2026-03-12 05:52:25,2026-03-12 05:52:25
40,うつしよの銀箱,Worldly Silver Box,,,consumable,2026-03-12 05:52:25,2026-03-12 05:52:25
41,うつしよの天箱,Worldly Sky Box,,,consumable,2026-03-12 05:52:25,2026-03-12 05:52:25
42,うつしよの銅箱,Worldly Bronze Box,,,consumable,2026-03-12 05:52:25,2026-03-12 05:52:25
43,うつしよの竜箱,Worldly Dragon Box,,,consumable,2026-03-12 05:52:25,2026-03-12 05:52:25
44,うつしよの闇箱,Worldly Dark Box,,,consumable,2026-03-12 05:52:25,2026-03-12 05:52:25
45,裏ショコラチケット,Chocolate Ticket Back,,,consumable,2026-03-12 05:52:25,2026-03-12 05:52:25
46,ウルベア金貨,Urbea Gold Coin,,,consumable,2026-03-12 05:52:25,2026-03-12 05:52:25
