monster_name,list_page,monster_url,section,map_name,note,version,spawn_time,spawn_count,symbol_count,matched_recommend_keywords,has_recommend_keyword,matched_negative_keywords,has_negative_keyword,selection_reason
あおだけ童子,6,https://dq100buster.wiki.fc2.com/wiki/%E3%81%82%E3%81%8A%E3%81%A0%E3%81%91%E7%AB%A5%E5%AD%90,フィールド,スイの塔,地域限定モンスター。4～6階に生息。1～2匹構成で、4階のみスライムタワーやホイミスライムがつく。スライムタワーとは互いに混成する。わらいぶくろも一緒に済ませておくとよい。,5.4,normal,1～2,,,False,,False,selected_clean_note_without_recommend_keyword
あかつきの神兵,43,https://dq100buster.wiki.fc2.com/wiki/%E3%81%82%E3%81%8B%E3%81%A4%E3%81%8D%E3%81%AE%E7%A5%9E%E5%85%B5,フィールド,歌姫の絶望,王城へと続く道の広間に2シンボル即湧き。1～2匹構成。燭台に近くオススメだが、ドルボードが使えないこともあり、ややシンボル間が遠く感じる。,6.1,normal,1～2,,オススメ,True,,False,selected_clean_note_with_recommend_keyword
あくまのきし,19,https://dq100buster.wiki.fc2.com/wiki/%E3%81%82%E3%81%8F%E3%81%BE%E3%81%AE%E3%81%8D%E3%81%97,コンテンツエリア,魔法の迷宮,迷宮Lv77↑に通路ボスタイプで出現。フィールドのものとはドロップが異なっている。通常ドロップはメタスラコイン・レアはメタルのカケラ。,6.5前,normal,,,,False,,False,selected_clean_note_without_recommend_keyword
あくま神官,8,https://dq100buster.wiki.fc2.com/wiki/%E3%81%82%E3%81%8F%E3%81%BE%E7%A5%9E%E5%AE%98,フィールド,知恵の眠る遺跡,地下1階の宝箱がある小部屋に4シンボル湧く。約2分～2分30秒感覚湧きなので、競合がいなくても湧き待ちの時間がある。ベホイミスライムが1～2匹くっつく。,1.3,normal,1,,,False,,False,selected_clean_note_without_recommend_keyword
あくま神官・強,37,https://dq100buster.wiki.fc2.com/wiki/%E3%81%82%E3%81%8F%E3%81%BE%E7%A5%9E%E5%AE%98%E3%83%BB%E5%BC%B7,フィールド,ジャゴヌバ神殿,地下1階の中央にシンボル多数。2～3匹構成。,5.3,normal,2～3,,,False,,False,selected_clean_note_without_recommend_keyword
あばれこまいぬ,5,https://dq100buster.wiki.fc2.com/wiki/%E3%81%82%E3%81%B0%E3%82%8C%E3%81%93%E3%81%BE%E3%81%84%E3%81%AC,フィールド,アズラン地方,地域限定・No.006（想いを花に込めて） No487（交わらぬ水魚）クエ対象。 西側の森部分に生息。天地雷鳴士のクエストの影響でD-2にシンボルが増量。B-2 、C-2、C-4では本物の狛犬のように2匹並んでいる。1匹構成。,5.4,normal,1,,,False,,False,selected_clean_note_without_recommend_keyword
あやしいかげ,16,https://dq100buster.wiki.fc2.com/wiki/%E3%81%82%E3%82%84%E3%81%97%E3%81%84%E3%81%8B%E3%81%92,フィールド,謎の地下水路,第2層に出現する。さまようよろいとは相互に2匹までくっつく。さまようよろいとプリーストナイトにくっついてくる分、あとパンプキャビネットやエンゼルアーマーを狩る際にぶつかってしまう分だけで600匹狩れるので、わざわざこのシンボルに接触する必要性は薄い。,3.2,normal,2,,,False,,False,selected_clean_note_without_recommend_keyword
あやしいかげ・強,42,https://dq100buster.wiki.fc2.com/wiki/%E3%81%82%E3%82%84%E3%81%97%E3%81%84%E3%81%8B%E3%81%92%E3%83%BB%E5%BC%B7,フィールド,旧ネクロデア領,集落跡の周辺や集落跡、鉱山跡の洞くつにシンボル。集落跡は2～3匹構成でがいこつ・強が2匹までくっついてくることがある。集落跡の北側の高台は3～4匹構成。集落跡の西側は2～4匹構成でくさった死体・強が2匹くっついてくることがある。鉱山跡は3～4匹構成、ほかマジックフライ・強に2匹までくっついてくる。,5.1,normal,2～3,,,False,,False,selected_clean_note_without_recommend_keyword
あやシイタケ,57,https://dq100buster.wiki.fc2.com/wiki/%E3%81%82%E3%82%84%E3%82%B7%E3%82%A4%E3%82%BF%E3%82%B1,フィールド,ガウシア樹海,入口付近に生息。入口すぐ北は他のモンスターがおらず狩りやすい。草むらが多く視認性はイマイチ。,6.2,normal,,,,False,,False,selected_clean_note_without_recommend_keyword
あらくれチャッピー,10,https://dq100buster.wiki.fc2.com/wiki/%E3%81%82%E3%82%89%E3%81%8F%E3%82%8C%E3%83%81%E3%83%A3%E3%83%83%E3%83%94%E3%83%BC,フィールド,ギルザッド地方,No.093(そうびぶくろ1話)クエ対象。 海辺や強敵ゾーンを除いて広く生息。1～2匹構成でデスパロットと互いに混成する。B-2～3やA-4の線路下では混成なしの1～3匹構成だがすぐ枯れる。,5.4,normal,1～2,,,False,,False,selected_clean_note_without_recommend_keyword
あらくれパンダ,57,https://dq100buster.wiki.fc2.com/wiki/%E3%81%82%E3%82%89%E3%81%8F%E3%82%8C%E3%83%91%E3%83%B3%E3%83%80,フィールド,オルセコ王国領,,4.5後,normal,,,,False,,False,selected_clean_note_without_recommend_keyword
あらなわ明神,38,https://dq100buster.wiki.fc2.com/wiki/%E3%81%82%E3%82%89%E3%81%AA%E3%82%8F%E6%98%8E%E7%A5%9E,フィールド,レストリア平野,ラランブラ山道周辺～E-3の遺跡付近に生息。山道周辺では3～4匹、遺跡付近では2～3匹構成。,7.0,normal,2～3,,,False,,False,selected_clean_note_without_recommend_keyword
いしにんぎょう,27,https://dq100buster.wiki.fc2.com/wiki/%E3%81%84%E3%81%97%E3%81%AB%E3%82%93%E3%81%8E%E3%82%87%E3%81%86,フィールド,ガイオス古海,海賊船から深海のほこらまでの間にシンボルがうろつく。2～3匹構成なのでおすすめ。,3.4,normal,2～3,,おすすめ,True,,False,selected_clean_note_with_recommend_keyword
いしにんぎょう・強,43,https://dq100buster.wiki.fc2.com/wiki/%E3%81%84%E3%81%97%E3%81%AB%E3%82%93%E3%81%8E%E3%82%87%E3%81%86%E3%83%BB%E5%BC%B7,フィールド,魔幻都市ゴーラ跡,C6～E6にかけて、1匹構成でグリーンシザー・強とパペットマン・強に互いに混成する。E5あたりはパペットマン・強がくっついてくるのみ。F2付近は1～2匹構成でゴースト・強が2匹までくっついてくる。,5.1,normal,1,,,False,,False,selected_clean_note_without_recommend_keyword
いたずらもぐら,1,https://dq100buster.wiki.fc2.com/wiki/%E3%81%84%E3%81%9F%E3%81%9A%E3%82%89%E3%82%82%E3%81%90%E3%82%89,フィールド,灼熱の溶岩窟,北西部の行き止まりに3シンボル。2～3匹構成。一人で狩ってちょうど涸れない程度の湧き。ここまで来られるなら断然こちら。,4.4,normal,2～3,,,False,,False,selected_clean_note_without_recommend_keyword
いたずらもぐら・強,25,https://dq100buster.wiki.fc2.com/wiki/%E3%81%84%E3%81%9F%E3%81%9A%E3%82%89%E3%82%82%E3%81%90%E3%82%89%E3%83%BB%E5%BC%B7,フィールド,バルディア山岳地帯,G-5のトンネル内のほか、F-6～7のブラニック採石場付近にも少量いる。いずれも3～4匹構成。,5.5,normal,3～4,,,False,,False,selected_clean_note_without_recommend_keyword
