id,display_order,name,name_en,system_type,system_type_en,is_reincarnated,reincarnation_parent_id,source_url,image_path,created_at,updated_at
1,1,スライム,Slime,スライム系,Slime,0,,https://www.d-quest-10.com/detail/a00151.html,/storage/images/monsters/1.webp,2026-03-12 06:29:31,2026-03-31 07:36:46
2,2,スライムベス,She-Slime,スライム系,Slime,0,,https://www.d-quest-10.com/detail/a00155.html,/storage/images/monsters/2.webp,2026-03-12 06:29:34,2026-03-31 07:36:46
3,3,いたずらもぐら,Mischievous Mole,獣系,Beast,0,,https://www.d-quest-10.com/detail/a00021.html,/storage/images/monsters/3.webp,2026-03-12 06:29:37,2026-03-31 07:36:46
4,4,ビッグハット,Sham Hatwitch,獣系,Beast,0,,https://www.d-quest-10.com/detail/a00237.html,/storage/images/monsters/4.webp,2026-03-12 06:29:43,2026-03-31 07:36:46
5,5,ナスビナーラ,Woebergine,植物系,Plant,0,,https://www.d-quest-10.com/detail/a00213.html,/storage/images/monsters/5.webp,2026-03-12 06:29:46,2026-03-31 07:36:46
6,6,おむつっこり,Bushy Baby,植物系,Plant,0,,https://www.d-quest-10.com/detail/a00047.html,/storage/images/monsters/6.webp,2026-03-12 06:29:49,2026-03-31 07:36:46
7,7,モーモン,Teeny Sanguini,悪魔系,Demon,0,,https://www.d-quest-10.com/detail/a00336.html,/storage/images/monsters/7.webp,2026-03-12 06:29:53,2026-03-31 07:36:46
8,8,いっかくウサギ,Bunicorn,獣系,Beast,0,,https://www.d-quest-10.com/detail/a00022.html,/storage/images/monsters/8.webp,2026-03-12 06:29:58,2026-03-31 07:36:46
9,9,ファーラット,Feralball,獣系,Beast,0,,https://www.d-quest-10.com/detail/a00247.html,/storage/images/monsters/9.webp,2026-03-12 06:30:01,2026-03-31 07:36:46
10,10,さそりばち,Waspion,虫系,Insect,0,,https://www.d-quest-10.com/detail/a00112.html,/storage/images/monsters/10.webp,2026-03-12 06:30:04,2026-03-31 07:36:46
11,11,ドラキー,Dracky,鳥系,Bird,0,,https://www.d-quest-10.com/detail/a00200.html,/storage/images/monsters/11.webp,2026-03-12 06:30:07,2026-03-31 07:36:46
12,12,メラゴースト,Firespirit,エレメント系,Elemental,0,,https://www.d-quest-10.com/detail/a00333.html,/storage/images/monsters/12.webp,2026-03-12 06:30:10,2026-03-31 07:36:46
13,13,しましまキャット,Candy Cat,獣系,Beast,0,,https://www.d-quest-10.com/detail/a00133.html,/storage/images/monsters/13.webp,2026-03-12 06:30:13,2026-03-31 07:36:46
14,14,クックルー,Grudgerigar,鳥系,Bird,0,,https://www.d-quest-10.com/detail/a00083.html,/storage/images/monsters/14.webp,2026-03-12 06:30:16,2026-03-31 07:36:46
15,15,おおきづち,Hammerhood,怪人系,Humanoid,0,,https://www.d-quest-10.com/detail/a00036.html,/storage/images/monsters/15.webp,2026-03-12 06:30:19,2026-03-31 07:36:46
16,16,プチアーノン,Khalamari Kid,水系,Aquatic,0,,https://www.d-quest-10.com/detail/a00252.html,/storage/images/monsters/16.webp,2026-03-12 06:30:24,2026-03-31 07:36:46
17,17,ねこまどう,Meowgician,獣系,Beast,0,,https://www.d-quest-10.com/detail/a00218.html,/storage/images/monsters/17.webp,2026-03-12 06:30:26,2026-03-31 07:36:46
18,18,オニオーン,Ornery Onion,植物系,Plant,0,,https://www.d-quest-10.com/detail/a00041.html,/storage/images/monsters/18.webp,2026-03-12 06:30:30,2026-03-31 07:36:46
19,19,ゴースト,Ghost,ゾンビ系,Undead,0,,https://www.d-quest-10.com/detail/a00099.html,/storage/images/monsters/19.webp,2026-03-12 06:30:33,2026-03-31 07:36:46
20,20,スライムつむり,Shell Slime,スライム系,Slime,0,,https://www.d-quest-10.com/detail/a00153.html,/storage/images/monsters/20.webp,2026-03-12 06:30:36,2026-03-31 07:36:46
21,21,キラースコップ,Mad Mole,獣系,Beast,0,,https://www.d-quest-10.com/detail/a00071.html,/storage/images/monsters/21.webp,2026-03-12 06:30:39,2026-03-31 07:36:46
22,22,みならいあくま,Winkster,悪魔系,Demon,0,,https://www.d-quest-10.com/detail/a00320.html,/storage/images/monsters/22.webp,2026-03-12 06:30:42,2026-03-31 07:36:46
23,23,バブルスライム,Bubble Slime,スライム系,Slime,0,,https://www.d-quest-10.com/detail/a00226.html,/storage/images/monsters/23.webp,2026-03-12 06:30:44,2026-03-31 07:36:46
24,24,メラリザード,Frizzard,ドラゴン系,Dragon,0,,https://www.d-quest-10.com/detail/a00334.html,/storage/images/monsters/24.webp,2026-03-12 06:30:47,2026-03-31 07:36:46
25,25,タホドラキー,Drackmage,鳥系,Bird,0,,https://www.d-quest-10.com/detail/a00173.html,/storage/images/monsters/25.webp,2026-03-12 06:30:51,2026-03-31 07:36:46
