id,display_order,name,name_en,system_type,is_reincarnated,reincarnation_parent_id,source_url,image_path,created_at,updated_at
1,1,スライム,Slime,スライム系,0,,https://www.d-quest-10.com/detail/a00151.html,/storage/images/monsters/1.webp,2026-03-12 06:29:31,2026-03-25 18:58:36
2,2,スライムベス,She-Slime,スライム系,0,,https://www.d-quest-10.com/detail/a00155.html,/storage/images/monsters/2.webp,2026-03-12 06:29:34,2026-03-25 18:41:17
3,3,いたずらもぐら,Mischievous Mole,獣系,0,,https://www.d-quest-10.com/detail/a00021.html,/storage/images/monsters/3.webp,2026-03-12 06:29:37,2026-03-26 14:07:26
4,4,ビッグハット,Sham Hatwitch,獣系,0,,https://www.d-quest-10.com/detail/a00237.html,/storage/images/monsters/4.webp,2026-03-12 06:29:43,2026-03-26 14:07:26
5,5,ナスビナーラ,Woebergine,植物系,0,,https://www.d-quest-10.com/detail/a00213.html,/storage/images/monsters/5.webp,2026-03-12 06:29:46,2026-03-26 14:22:03
6,6,おむつっこり,Bushy Baby,植物系,0,,https://www.d-quest-10.com/detail/a00047.html,/storage/images/monsters/6.webp,2026-03-12 06:29:49,2026-03-26 14:07:26
7,7,モーモン,Teeny Sanguini,悪魔系,0,,https://www.d-quest-10.com/detail/a00336.html,/storage/images/monsters/7.webp,2026-03-12 06:29:53,2026-03-26 14:24:33
8,8,いっかくウサギ,Bunicorn,獣系,0,,https://www.d-quest-10.com/detail/a00022.html,/storage/images/monsters/8.webp,2026-03-12 06:29:58,2026-03-26 14:25:23
9,9,ファーラット,Feralball,獣系,0,,https://www.d-quest-10.com/detail/a00247.html,/storage/images/monsters/9.webp,2026-03-12 06:30:01,2026-03-26 14:22:48
10,10,さそりばち,Waspion,虫系,0,,https://www.d-quest-10.com/detail/a00112.html,/storage/images/monsters/10.webp,2026-03-12 06:30:04,2026-03-26 14:07:26
11,11,ドラキー,Dracky,鳥系,0,,https://www.d-quest-10.com/detail/a00200.html,/storage/images/monsters/11.webp,2026-03-12 06:30:07,2026-03-26 14:07:26
12,12,メラゴースト,Firespirit,エレメント系,0,,https://www.d-quest-10.com/detail/a00333.html,/storage/images/monsters/12.webp,2026-03-12 06:30:10,2026-03-26 14:07:26
13,13,しましまキャット,Candy Cat,獣系,0,,https://www.d-quest-10.com/detail/a00133.html,/storage/images/monsters/13.webp,2026-03-12 06:30:13,2026-03-26 14:07:26
14,14,クックルー,Grudgerigar,鳥系,0,,https://www.d-quest-10.com/detail/a00083.html,/storage/images/monsters/14.webp,2026-03-12 06:30:16,2026-03-26 14:07:26
15,15,おおきづち,Hammerhood,怪人系,0,,https://www.d-quest-10.com/detail/a00036.html,/storage/images/monsters/15.webp,2026-03-12 06:30:19,2026-03-26 14:07:26
16,16,プチアーノン,Khalamari Kid,水系,0,,https://www.d-quest-10.com/detail/a00252.html,/storage/images/monsters/16.webp,2026-03-12 06:30:24,2026-03-26 14:07:26
17,17,ねこまどう,Meowgician,獣系,0,,https://www.d-quest-10.com/detail/a00218.html,/storage/images/monsters/17.webp,2026-03-12 06:30:26,2026-03-26 14:07:26
18,18,オニオーン,Ornery Onion,植物系,0,,https://www.d-quest-10.com/detail/a00041.html,/storage/images/monsters/18.webp,2026-03-12 06:30:30,2026-03-26 14:07:26
19,19,ゴースト,Ghost,ゾンビ系,0,,https://www.d-quest-10.com/detail/a00099.html,/storage/images/monsters/19.webp,2026-03-12 06:30:33,2026-03-26 14:07:26
20,20,スライムつむり,Shell Slime,スライム系,0,,https://www.d-quest-10.com/detail/a00153.html,/storage/images/monsters/20.webp,2026-03-12 06:30:36,2026-03-26 14:07:26
21,21,キラースコップ,Mad Mole,獣系,0,,https://www.d-quest-10.com/detail/a00071.html,/storage/images/monsters/21.webp,2026-03-12 06:30:39,2026-03-26 14:07:26
