id,name,name_en,color,effect,created_at,updated_at
1,不屈の闘志,,炎,さいだいHP上昇,"2026-03-12 05:56:22","2026-03-12 05:56:22"
2,深淵なる叡智,,炎,さいだいMP上昇,"2026-03-12 05:56:22","2026-03-12 05:56:22"
3,武神の豪腕,,炎,ちから上昇,"2026-03-12 05:56:22","2026-03-12 05:56:22"
4,鋼鉄の肉体,,炎,みのまもり上昇,"2026-03-12 05:56:22","2026-03-12 05:56:22"
5,大賢者の御手,,炎,こうげき魔力上昇,"2026-03-12 05:56:22","2026-03-12 05:56:22"
6,いつくしむ心,,炎,かいふく魔力上昇,"2026-03-12 05:56:22","2026-03-12 05:56:22"
7,韋駄天の足,,炎,すばやさ上昇,"2026-03-12 05:56:22","2026-03-12 05:56:22"
8,神業の手,,炎,きようさ上昇,"2026-03-12 05:56:22","2026-03-12 05:56:22"
9,ふんばり魂,,炎,おもさ上昇,"2026-03-12 05:56:22","2026-03-12 05:56:22"
10,戦場のヴィーナス,,炎,みりょく上昇,"2026-03-12 05:56:22","2026-03-12 05:56:22"
11,魔術の深淵,,炎,こうげき魔力・かいふく魔力上昇,"2026-03-12 05:56:22","2026-03-12 05:56:22"
12,会心練磨,,炎,会心率と呪文暴走率上昇,"2026-03-12 05:56:22","2026-03-12 05:56:22"
13,先見の眼,,炎,身かわし率上昇,"2026-03-12 05:56:22","2026-03-12 05:56:22"
14,堅守の心得,,炎,盾ガード率上昇,"2026-03-12 05:56:22","2026-03-12 05:56:22"
15,鉄壁の炎耐性,,炎,炎属性のダメージ減,"2026-03-12 05:56:22","2026-03-12 05:56:22"
16,鉄壁の氷耐性,,炎,氷属性のダメージ減,"2026-03-12 05:56:22","2026-03-12 05:56:22"
17,鉄壁の風耐性,,炎,風属性のダメージ減,"2026-03-12 05:56:22","2026-03-12 05:56:22"
18,鉄壁の雷耐性,,炎,雷属性のダメージ減,"2026-03-12 05:56:22","2026-03-12 05:56:22"
19,鉄壁の土耐性,,炎,土属性のダメージ減,"2026-03-12 05:56:22","2026-03-12 05:56:22"
20,鉄壁の闇耐性,,炎,闇属性のダメージ減,"2026-03-12 05:56:22","2026-03-12 05:56:22"
21,鉄壁の光耐性,,炎,光属性のダメージ減,"2026-03-12 05:56:22","2026-03-12 05:56:22"
22,鉄壁の攻撃呪文耐性,,炎,呪文ダメージ減,"2026-03-12 05:56:22","2026-03-12 05:56:22"
23,鉄壁のブレス耐性,,炎,ブレスダメージ減,"2026-03-12 05:56:22","2026-03-12 05:56:22"
24,不滅のテンション,,水,死亡時、たまに【テンションアップ】が消えない,"2026-03-12 05:56:23","2026-03-12 05:56:23"
25,不滅の攻撃力アップ,,水,死亡時、たまに【攻撃力上昇】が消えない,"2026-03-12 05:56:23","2026-03-12 05:56:23"
26,不滅の攻撃呪文強化,,水,死亡時、たまに【攻撃呪文強化】が消えない（Ver.7.1まではLv1につき3%）,"2026-03-12 05:56:23","2026-03-12 05:56:23"
27,不滅の回復呪文強化,,水,死亡時、たまに【回復呪文強化】が消えない,"2026-03-12 05:56:23","2026-03-12 05:56:23"
28,不滅の早詠み,,水,死亡時、たまに【詠唱時間短縮】が消えない（Ver.7.1まではLv1につき3%）,"2026-03-12 05:56:23","2026-03-12 05:56:23"
29,不滅の呪文ダメージ限界突破,,水,死亡時、たまに【呪文ダメージ限界突破】が消えない魔使専用,"2026-03-12 05:56:23","2026-03-12 05:56:23"
30,不滅の魅惑の水晶球,,水,死亡時、たまに【魅惑の水晶球】が消えない占い師専用,"2026-03-12 05:56:23","2026-03-12 05:56:23"
31,鉄壁のマヒガード,,水,マヒガード上昇,"2026-03-12 05:56:23","2026-03-12 05:56:23"
32,鉄壁の眠りガード,,水,眠りガード上昇,"2026-03-12 05:56:23","2026-03-12 05:56:23"
33,鉄壁の混乱ガード,,水,混乱ガード上昇,"2026-03-12 05:56:23","2026-03-12 05:56:23"
34,鉄壁の即死ガード,,水,即死ガード上昇,"2026-03-12 05:56:23","2026-03-12 05:56:23"
35,鉄壁のどくガード,,水,毒ガード上昇,"2026-03-12 05:56:23","2026-03-12 05:56:23"
36,鉄壁の封印ガード,,水,封印ガード上昇,"2026-03-12 05:56:23","2026-03-12 05:56:23"
37,鉄壁の幻惑ガード,,水,幻惑ガード上昇,"2026-03-12 05:56:23","2026-03-12 05:56:23"
38,鉄壁の転びガード,,水,転びガード上昇,"2026-03-12 05:56:23","2026-03-12 05:56:23"
39,鉄壁のおびえガード,,水,おびえガード上昇,"2026-03-12 05:56:23","2026-03-12 05:56:23"
40,鉄壁のしばりガード,,水,しばりガード上昇,"2026-03-12 05:56:23","2026-03-12 05:56:23"
41,鉄壁の踊りガード,,水,踊らされガード上昇,"2026-03-12 05:56:23","2026-03-12 05:56:23"
42,鉄壁の笑いガード,,水,笑いガード上昇,"2026-03-12 05:56:23","2026-03-12 05:56:23"
43,鉄壁の魅了ガード,,水,魅了ガード上昇,"2026-03-12 05:56:23","2026-03-12 05:56:23"
44,鉄壁の呪いガード,,水,呪いガード上昇,"2026-03-12 05:56:23","2026-03-12 05:56:23"
45,鉄壁のMP吸収ガード,,水,MP吸収ガード上昇,"2026-03-12 05:56:23","2026-03-12 05:56:23"
46,鉄壁のみとれガード,,水,みとれガード上昇,"2026-03-12 05:56:23","2026-03-12 05:56:23"
47,鉄壁のはどうガード,,水,はどうガード上昇,"2026-03-12 05:56:23","2026-03-12 05:56:23"
48,鉄壁の会心完全ガード,,水,たまに痛恨の一撃・呪文暴走を無効化,"2026-03-12 05:56:23","2026-03-12 05:56:23"
49,鉄壁のふっとびガード,,水,ふっとびガード上昇（Ver.5.1まではLv1につき1%）,"2026-03-12 05:56:23","2026-03-12 05:56:23"
50,鉄壁の各弱体系耐性,,水,各弱体系耐性上昇,"2026-03-12 05:56:23","2026-03-12 05:56:23"
51,ホイミ系呪文の奇跡,,水,【ホイミ系】呪文の回復量上昇,"2026-03-12 05:56:23","2026-03-12 05:56:23"
52,ザオの戦域,,水,【ザオ】の射程距離延長,"2026-03-12 05:56:23","2026-03-12 05:56:23"
53,ザオラルとザオリクの戦域,,水,【ザオラル】【ザオリク】の射程距離延長,"2026-03-12 05:56:23","2026-03-12 05:56:23"
54,ヘナトス系の技巧,,水,【ヘナトス】【ヘナトール】の成功率上昇,"2026-03-12 05:56:23","2026-03-12 05:56:23"
55,ルカニ系呪文の技巧,,水,【ルカニ】【ルカナン】の成功率上昇,"2026-03-12 05:56:23","2026-03-12 05:56:23"
56,ボミエ系呪文の技巧,,水,【ボミエ】【ボミオス】の成功率上昇,"2026-03-12 05:56:23","2026-03-12 05:56:23"
57,ディバインスペルの技巧,,水,【ディバインスペル】の成功率上昇,"2026-03-12 05:56:23","2026-03-12 05:56:23"
58,ラリホー系呪文の技巧,,水,【ラリホー】【ラリホーマ】の成功率上昇,"2026-03-12 05:56:23","2026-03-12 05:56:23"
59,メダパニ系呪文の技巧,,水,【メダパニ】【メダパニーマ】の成功率上昇,"2026-03-12 05:56:23","2026-03-12 05:56:23"
60,マホトーンの技巧,,水,【マホトーン】の成功率上昇,"2026-03-12 05:56:23","2026-03-12 05:56:23"
61,マヌーサの技巧,,水,【マヌーサ】の成功率上昇,"2026-03-12 05:56:23","2026-03-12 05:56:23"
62,ヴェレ系の技巧,,水,【ヴェレ】【ヴェレーノ】【ヴェレノーマ】の成功率上昇,"2026-03-12 05:56:23","2026-03-12 05:56:23"
63,ルカニの盾,,水,武器・盾ガード時、たまに攻撃した敵に【守備力低下】1段階（Ver.5.1まではLv1につき2%）,"2026-03-12 05:56:23","2026-03-12 05:56:23"
64,ヘナトスの盾,,水,武器・盾ガード時、たまに攻撃した敵に【攻撃力低下】1段階（Ver.5.1まではLv1につき2%）,"2026-03-12 05:56:23","2026-03-12 05:56:23"
65,ぶきみなひかりの盾,,水,武器・盾ガード時、たまに攻撃した敵に【呪文耐性低下】1段階,"2026-03-12 05:56:23","2026-03-12 05:56:23"
66,復活のHP回復量アップ,,水,自分が蘇生されたときのHP回復量が最大HPの一定割合分増える,"2026-03-12 05:56:23","2026-03-12 05:56:23"
67,忍耐のMP回復,,水,ダメージを受けた時、確率（上段）でそのダメージの一定割合（下段）分MPが回復,"2026-03-12 05:56:23","2026-03-12 05:56:23"
68,逆境の身かわしアップ,,水,ダメージでHPが25%を下回った時たまに自分にみかわし率30%アップ,"2026-03-12 05:56:23","2026-03-12 05:56:23"
69,復讐のテンションアップ,,風,味方死亡時、たまに自分に【テンションアップ】1段階,"2026-03-12 05:56:24","2026-03-12 05:56:24"
70,復讐のバイシオン,,風,味方死亡時、たまに自分に【攻撃力上昇】1段階,"2026-03-12 05:56:24","2026-03-12 05:56:24"
71,復讐のスカラ,,風,味方死亡時、たまに自分に【守備力上昇】1段階,"2026-03-12 05:56:24","2026-03-12 05:56:24"
72,復讐の攻撃呪文威力アップ,,風,味方死亡時、たまに自分に【攻撃呪文強化】2段階,"2026-03-12 05:56:24","2026-03-12 05:56:24"
73,復讐の早詠みの杖,,風,味方死亡時、たまに自分に【詠唱時間短縮】,"2026-03-12 05:56:24","2026-03-12 05:56:24"
74,復讐の聖なる祈り,,風,味方死亡時、たまに自分に【回復呪文強化】2段階,"2026-03-12 05:56:24","2026-03-12 05:56:24"
75,復讐の聖女の守り,,風,味方死亡時、たまに自分に【聖女の守り】,"2026-03-12 05:56:24","2026-03-12 05:56:24"
76,復讐の呪文耐性上昇,,風,味方死亡時、たまに自分に【呪文耐性上昇】,"2026-03-12 05:56:24","2026-03-12 05:56:24"
77,復讐のブレス耐性上昇,,風,味方死亡時、たまに自分に【ブレス耐性上昇】,"2026-03-12 05:56:24","2026-03-12 05:56:24"
78,果てなき聖女の守り,,風,発生手段を問わず、自分にかかる【聖女の守り】の効果時間を延長,"2026-03-12 05:56:24","2026-03-12 05:56:24"
79,果てなき攻撃力アップ,,風,発生手段を問わず、自分にかかる【攻撃力上昇】の効果時間を延長,"2026-03-12 05:56:24","2026-03-12 05:56:24"
80,果てなき守備力アップ,,風,発生手段を問わず、自分にかかる【守備力上昇】の効果時間を延長,"2026-03-12 05:56:24","2026-03-12 05:56:24"
